UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,Note,SourceUrl
QST,7440301_DKD,Khoa học Môi trường (CT tăng cường tiếng Anh),THPTQG,B00,30,18.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301_DKD,Khoa học Môi trường (CT tăng cường tiếng Anh),THPTQG,B08,30,18.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7440301_DKD,Khoa học Môi trường (CT tăng cường tiếng Anh),THPTQG,D07,30,18.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420101,Sinh học,THPTQG,A02,30,23.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420101,Sinh học,THPTQG,B00,30,23.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420101,Sinh học,THPTQG,B08,30,23.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420101_DKD,Sinh học (CT tăng cường tiếng Anh),THPTQG,A02,30,23.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420101_DKD,Sinh học (CT tăng cường tiếng Anh),THPTQG,B00,30,23.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420101_DKD,Sinh học (CT tăng cường tiếng Anh),THPTQG,B08,30,23.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201,Công nghệ Sinh học,THPTQG,A02,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201,Công nghệ Sinh học,THPTQG,B00,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201,Công nghệ Sinh học,THPTQG,B08,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201,Công nghệ Sinh học,THPTQG,D90,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201_DKD,Công nghệ Sinh học (CT tăng cường tiếng Anh),THPTQG,A02,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201_DKD,Công nghệ Sinh học (CT tăng cường tiếng Anh),THPTQG,B00,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201_DKD,Công nghệ Sinh học (CT tăng cường tiếng Anh),THPTQG,B08,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7420201_DKD,Công nghệ Sinh học (CT tăng cường tiếng Anh),THPTQG,D90,30,24.90,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7850101,Quản lý Tài nguyên và Môi trường,THPTQG,A00,30,22.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7850101,Quản lý Tài nguyên và Môi trường,THPTQG,B00,30,22.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7850101,Quản lý Tài nguyên và Môi trường,THPTQG,B08,30,22.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7850101,Quản lý Tài nguyên và Môi trường,THPTQG,D07,30,22.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460101_NN,"Nhóm ngành Toán học, Toán tin, Toán ứng dụng",THPTQG,A00,30,25.55,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460101_NN,"Nhóm ngành Toán học, Toán tin, Toán ứng dụng",THPTQG,A01,30,25.55,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460101_NN,"Nhóm ngành Toán học, Toán tin, Toán ứng dụng",THPTQG,B00,30,25.55,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460101_NN,"Nhóm ngành Toán học, Toán tin, Toán ứng dụng",THPTQG,D01,30,25.55,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460108,Khoa học Dữ liệu,THPTQG,A00,30,26.85,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460108,Khoa học Dữ liệu,THPTQG,A01,30,26.85,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460108,Khoa học Dữ liệu,THPTQG,B08,30,26.85,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7460108,Khoa học Dữ liệu,THPTQG,D07,30,26.85,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_NN,Nhóm ngành Máy tính và Công nghệ Thông tin,THPTQG,A00,30,26.75,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_NN,Nhóm ngành Máy tính và Công nghệ Thông tin,THPTQG,A01,30,26.75,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_NN,Nhóm ngành Máy tính và Công nghệ Thông tin,THPTQG,B08,30,26.75,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_NN,Nhóm ngành Máy tính và Công nghệ Thông tin,THPTQG,D07,30,26.75,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_DKD,Công nghệ Thông tin (CT tăng cường tiếng Anh),THPTQG,A00,30,26.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_DKD,Công nghệ Thông tin (CT tăng cường tiếng Anh),THPTQG,A01,30,26.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_DKD,Công nghệ Thông tin (CT tăng cường tiếng Anh),THPTQG,B08,30,26.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480201_DKD,Công nghệ Thông tin (CT tăng cường tiếng Anh),THPTQG,D07,30,26.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480101_TT,Khoa học Máy tính (CT Tiên tiến),THPTQG,A00,30,28.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480101_TT,Khoa học Máy tính (CT Tiên tiến),THPTQG,A01,30,28.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480101_TT,Khoa học Máy tính (CT Tiên tiến),THPTQG,B08,30,28.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480101_TT,Khoa học Máy tính (CT Tiên tiến),THPTQG,D07,30,28.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480107,Trí tuệ nhân tạo,THPTQG,A00,30,27.70,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480107,Trí tuệ nhân tạo,THPTQG,A01,30,27.70,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480107,Trí tuệ nhân tạo,THPTQG,B08,30,27.70,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7480107,Trí tuệ nhân tạo,THPTQG,D07,30,27.70,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520402,Kỹ thuật Hạt nhân,THPTQG,A00,30,23.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520402,Kỹ thuật Hạt nhân,THPTQG,A01,30,23.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520402,Kỹ thuật Hạt nhân,THPTQG,A02,30,23.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520402,Kỹ thuật Hạt nhân,THPTQG,D90,30,23.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520403,Vật lý Y khoa,THPTQG,A00,30,24.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520403,Vật lý Y khoa,THPTQG,A01,30,24.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
