UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,7440301,Khoa học Môi trường,THPTQG,X10,30,
QST,7440301,Khoa học Môi trường,THPTQG,X14,30,
QST,7440301,Khoa học Môi trường,ĐGNL,,1200,
QST,7440301_DKD,Khoa học Môi trường (Chương trình tăng cường tiếng Anh),THPTQG,A00,30,
QST,7440301_DKD,Khoa học Môi trường (Chương trình tăng cường tiếng Anh),THPTQG,B00,30,
QST,7440301_DKD,Khoa học Môi trường (Chương trình tăng cường tiếng Anh),THPTQG,D07,30,
QST,7440301_DKD,Khoa học Môi trường (Chương trình tăng cường tiếng Anh),THPTQG,B08,30,
QST,7440301_DKD,Khoa học Môi trường (Chương trình tăng cường tiếng Anh),THPTQG,X10,30,
QST,7440301_DKD,Khoa học Môi trường (Chương trình tăng cường tiếng Anh),THPTQG,X14,30,
QST,7440301_DKD,Khoa học Môi trường (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,A00,30,
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,A01,30,
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,B00,30,
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,B08,30,
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,D01,30,
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,X06,30,
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",ĐGNL,,1200,
QST,7460112_DKD,Toán ứng dụng (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A00,30,
QST,7460112_DKD,Toán ứng dụng (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A01,30,
QST,7460112_DKD,Toán ứng dụng (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,B00,30,
QST,7460112_DKD,Toán ứng dụng (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,B08,30,
QST,7460112_DKD,Toán ứng dụng (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,D01,30,
QST,7460112_DKD,Toán ứng dụng (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,X06,30,
QST,7460112_DKD,Toán ứng dụng (Chương trình tăng cường tiếng Anh) (dự kiến),ĐGNL,,1200,
QST,7460117_DKD,Toán tin (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A00,30,
QST,7460117_DKD,Toán tin (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A01,30,
QST,7460117_DKD,Toán tin (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,B00,30,
QST,7460117_DKD,Toán tin (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,B08,30,
QST,7460117_DKD,Toán tin (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,D01,30,
QST,7460117_DKD,Toán tin (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,X06,30,
QST,7460117_DKD,Toán tin (Chương trình tăng cường tiếng Anh) (dự kiến),ĐGNL,,1200,
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",THPTQG,A00,30,
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",THPTQG,A01,30,
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",THPTQG,B00,30,
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",THPTQG,B08,30,
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",THPTQG,D01,30,
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",THPTQG,X06,30,
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",ĐGNL,,1200,
QST,7460108_DKD,Khoa học dữ liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A00,30,
QST,7460108_DKD,Khoa học dữ liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A01,30,
QST,7460108_DKD,Khoa học dữ liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,B00,30,
QST,7460108_DKD,Khoa học dữ liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,B08,30,
QST,7460108_DKD,Khoa học dữ liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,D01,30,
QST,7460108_DKD,Khoa học dữ liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,X06,30,
