UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,SourceUrl
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:80), Thống kê (CT:40)",THPTQG,A00,30,28.50,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:80), Thống kê (CT:40)",THPTQG,A01,30,27.92,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:80), Thống kê (CT:40)",THPTQG,B00,30,27.92,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:80), Thống kê (CT:40)",THPTQG,D01,30,27.17,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:80), Thống kê (CT:40)",THPTQG,D07,30,27.67,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480101_TT,Khoa học máy tính (CT Tiên tiến),THPTQG,A00,30,29.92,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480101_TT,Khoa học máy tính (CT Tiên tiến),THPTQG,A01,30,29.81,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480101_TT,Khoa học máy tính (CT Tiên tiến),THPTQG,B00,30,29.81,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480101_TT,Khoa học máy tính (CT Tiên tiến),THPTQG,D07,30,29.56,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480107,Trí tuệ nhân tạo,THPTQG,A00,30,29.39,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480107,Trí tuệ nhân tạo,THPTQG,A01,30,29.10,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480107,Trí tuệ nhân tạo,THPTQG,B00,30,29.10,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480107,Trí tuệ nhân tạo,THPTQG,D07,30,28.85,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_DKD,Công nghệ thông tin (CT TCTA),THPTQG,A00,30,25.87,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_DKD,Công nghệ thông tin (CT TCTA),THPTQG,A01,30,24.62,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_DKD,Công nghệ thông tin (CT TCTA),THPTQG,B00,30,24.99,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_DKD,Công nghệ thông tin (CT TCTA),THPTQG,D07,30,24.37,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_NN,Nhóm ngành máy tính và Công nghệ thông tin (Công nghệ thông tin; Kỹ thuật phần mềm; Hệ thống thông tin; Khoa học máy tính),THPTQG,A00,30,27.27,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_NN,Nhóm ngành máy tính và Công nghệ thông tin (Công nghệ thông tin; Kỹ thuật phần mềm; Hệ thống thông tin; Khoa học máy tính),THPTQG,A01,30,26.27,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_NN,Nhóm ngành máy tính và Công nghệ thông tin (Công nghệ thông tin; Kỹ thuật phần mềm; Hệ thống thông tin; Khoa học máy tính),THPTQG,B00,30,26.66,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7480201_NN,Nhóm ngành máy tính và Công nghệ thông tin (Công nghệ thông tin; Kỹ thuật phần mềm; Hệ thống thông tin; Khoa học máy tính),THPTQG,D07,30,26.16,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (CT TCTA),THPTQG,A00,30,25.22,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (CT TCTA),THPTQG,B00,30,24.22,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (CT TCTA),THPTQG,C01,30,25.08,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (CT TCTA),THPTQG,D07,30,23.61,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510402,Công nghệ Vật liệu,THPTQG,A00,30,25.07,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510402,Công nghệ Vật liệu,THPTQG,A01,30,23.82,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510402,Công nghệ Vật liệu,THPTQG,B00,30,24.07,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510402,Công nghệ Vật liệu,THPTQG,C01,30,24.86,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510402,Công nghệ Vật liệu,THPTQG,D07,30,23.54,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,A00,30,21.50,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,A01,30,20.25,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,B00,30,20.25,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,C01,30,22.00,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,D07,30,19.56,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207,Kỹ thuật điện tử - viễn thông,THPTQG,A00,30,26.60,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207,Kỹ thuật điện tử - viễn thông,THPTQG,A01,30,25.35,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207,Kỹ thuật điện tử - viễn thông,THPTQG,C01,30,26.15,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207,Kỹ thuật điện tử - viễn thông,THPTQG,D07,30,25.10,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207_DKD,Kỹ thuật điện tử - viễn thông (CT TCTA),THPTQG,A00,30,25.70,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207_DKD,Kỹ thuật điện tử - viễn thông (CT TCTA),THPTQG,A01,30,24.45,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207_DKD,Kỹ thuật điện tử - viễn thông (CT TCTA),THPTQG,C01,30,25.50,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520207_DKD,Kỹ thuật điện tử - viễn thông (CT TCTA),THPTQG,D07,30,24.15,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,75202a1,Thiết kế vi mạch,THPTQG,A00,30,28.27,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,75202a1,Thiết kế vi mạch,THPTQG,A01,30,27.61,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,75202a1,Thiết kế vi mạch,THPTQG,C01,30,27.77,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,75202a1,Thiết kế vi mạch,THPTQG,D07,30,27.36,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A00,30,25.95,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A01,30,24.70,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520402,Kỹ thuật hạt nhân,THPTQG,C01,30,25.70,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520403,Vật lý y khoa,THPTQG,A00,30,26.13,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520403,Vật lý y khoa,THPTQG,A01,30,24.88,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
