Mã trường,Mã ngành xét tuyển,Tên ngành,Phương thức,Tổ hợp,Thang điểm,Điểm
DKB,7340201,Tài chính - Ngân hàng,THPTQG,Y08,30,14.00
DKB,7340201,Tài chính - Ngân hàng,ĐGNL,,1200,466
DKB,7380101,Luật,THPTQG,A03,30,14.00
DKB,7380101,Luật,THPTQG,C00,30,14.00
DKB,7380101,Luật,THPTQG,C03,30,14.00
DKB,7380101,Luật,THPTQG,C07,30,14.00
DKB,7380101,Luật,THPTQG,C14,30,14.00
DKB,7380101,Luật,THPTQG,D01,30,14.00
DKB,7380101,Luật,THPTQG,D09,30,14.00
DKB,7380101,Luật,THPTQG,D10,30,14.00
DKB,7380101,Luật,THPTQG,D14,30,14.00
DKB,7380101,Luật,THPTQG,D15,30,14.00
DKB,7380101,Luật,THPTQG,D84,30,14.00
DKB,7380101,Luật,ĐGNL,,1200,466
DKB,7380107,Luật kinh tế,THPTQG,A03,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,C00,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,C03,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,C07,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,C14,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,D01,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,D09,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,D10,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,D14,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,D15,30,14.00
DKB,7380107,Luật kinh tế,THPTQG,D84,30,14.00
DKB,7380107,Luật kinh tế,ĐGNL,,1200,466
DKB,7320108,Quan hệ công chúng,THPTQG,C00,30,14.00
DKB,7320108,Quan hệ công chúng,THPTQG,C01,30,14.00
DKB,7320108,Quan hệ công chúng,THPTQG,C03,30,14.00
DKB,7320108,Quan hệ công chúng,THPTQG,C14,30,14.00
DKB,7320108,Quan hệ công chúng,THPTQG,D01,30,14.00
DKB,7320108,Quan hệ công chúng,THPTQG,D66,30,14.00
DKB,7320108,Quan hệ công chúng,THPTQG,X79,30,14.00
DKB,7320108,Quan hệ công chúng,ĐGNL,,1200,466
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,C00,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,C03,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,C04,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,D10,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,D01,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,D09,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,D15,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,D66,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,D14,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,THPTQG,X26,30,14.00
DKB,7810202,Quản trị nhà hàng và dịch vụ ăn uống,ĐGNL,,1200,466
DKB,7220201,Ngôn ngữ Anh,THPTQG,C00,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,C03,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,C04,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,D01,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,D10,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,D14,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,D15,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,D66,30,14.00
DKB,7220201,Ngôn ngữ Anh,THPTQG,X79,30,14.00
DKB,7220201,Ngôn ngữ Anh,ĐGNL,,1200,466
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,C00,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,C03,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,C04,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,C14,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,D01,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,D14,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,D15,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,D66,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,THPTQG,X79,30,14.00
DKB,7220210,Ngôn ngữ Hàn Quốc,ĐGNL,,1200,466
